Indonesia,Simalungun
mencaci,"elo, mangelo, mangelo "
mencaci; mencemooh; ,elo
mencakar,"manraok , manrarik "
mencambuk,lonsing 
mencampur,"manampur , manombur 
, manotek , mauram, mauram "
mencampurkan raru pada nira untuk membuat tuak,mararu 
mencangkul,"gisgis, mamangkur, mamangkur , manangkul "
mencangkuli,mamangkuri
mencangkuli pamangkur n pencangkul,mamangkuri 
mencangkulkan,"mamangkurhon, mamangkurhon 
"
mencantikkan,"pajengeshon, pajengeshon "
mencap,"manokan, manokan 
"
mencari,"daordaor, mandaram, mandaram , manjarahi, manjarahi , manorihi 
, mansari , marpolang, marsoban"
mencari atau mengambil kayu,marharangan 
mencari- cari,daordaor
mencari ikan,mardengke 
mencari katak,marpolang 
mencari kayu bakar,marsoban 
mencekik,"mamongkik , manggotol , manongkik, manongkik "
mencela,manrisa 
mencelup,manolup 
mencelupkan,"manoluphon , manornobkon, manornobkon , manosobhon, manosobhon "
mencepatkan,"pasihaphon, pasihaphon "
menceraikan,"manirangkon, manirangkon , manolahkon "
menceret,"hansar, salur"
menceritakan,manaritahon 
mencermati,manulimati
mencermati tulluk,manulimati 
mencincang,"manaktak , mangetget , manggatgat  , margahgah, margahgah 
"
mencita-citakan,nipi
mencium,"mananggoh, mananggoh , manganggoh 
, maummah "
menciumi,maummahi 
menciumkan,maummahkon
mencoba,"lajou, manguji, manguji , mansuba, mansuba "
mencubit,"manggoit , manggotik "
mencubiti,mangootiki
mencubitkan,manggotikkon 
mencungkil,"manduhei , maungkil, maungkil "
mencuri,"manangko , mangemur "
mendahak,markohak
mendahak; mendahaki,"markohak 
"
mendahaki,markohak
mendahului,manlobei 
mendahulukan,"manglobeihon, manglobeihon 
"
mendaki,"manangkong 
, tangkong"
mendamai,"mandameihon, mandameihon "
mendangkalkan,mok
mendapat,"mandapot 
"
"mendapat malu: ulang gouskon agong ni i pakkon ni inang ipardom, pb jangan membuat malu ibu",agong
mendatangkan,parohkon 
mendatar,dos 
mendebarkan,mandibarhon 
mendegil,mahengkeng 
mendekap,"maulig, maulig "
mendekat,mandohor
mendekati,"mandohori, mandohori "
mendekatkan,"padohorhon, pahombarhon "
mendekatkan diri,padohorhon 
mendelik,"manerleng, manerleng 
"
mendengar,"mambogei, mambogei 
, manangar, manangar "
mendengarkan,manangihon 
mendengkur,mungkor
mendengus,boh
mendenyut,harat 
mendepa mengukur,mangholag 
menderita,"hodalon, tututon"
menderita congek,tungkikon 
menderita penyakit kulit di kepala,tututon 
menderita sakit kulit,hodalon 
menderu,"mandosong, mandosong 
"
mendiamkan,pasiphon 
mendiangkan,"manlulus, manlulus 
"
mendinding,"mandingding, mandingding "
mendindingi,mandingdingi
mendindingi padingdingon n pendindingan,mandingdingi 
mendingin,"maborgoh, maborgoh "
mendinginkan,"paborgohkon, paborgohkon "
mendirikan,pajongjongkon 
mendoakan,manonggohon 
mendongkol,"manrampus, manrampus "
mendorong,"mangonjar, mangonjar , mangonjarhon, tolak 
mangonjarhon "
menduduki,manghunduli
mendudukkan,"pahundulhon, pahundulhon "
mendung,"bonog, domuh, holom, horlom"
mendurung,"mandurung, mandurung "
mendusta,"mangguak, mangguak , manladungi, manladungi "
mendustai,"mangguaki, parladung"
mendustai guak,mangguaki 
mendustai lae,parladung 
menebang,"manroboh, manroboh "
menebas,"mangimas 
, manobas "
menebus,manobus 
meneguhkan,patoguhkon 
meneguk,"mandorgak, mandorgak "
menegur,"manapa, manapa , manisei, manisei "
menelan,"manolon, manolon "
menelan cepat,lor
menelungkup,"marlangkop, marlangkop "
menembak,"mambodil , mambodil 
, manembak , manembakhon "
menembok,manembok 
menembuskan,manunuti
menembuskan nolih,manunuti 
menempah,manopa 
menempahkan,"patopahon, patopahon "
menempati,"ian, mangian , mangianani, mangianani , wadah 
mangian "
menempatkan,"mangianhon, mangianhon "
menemui,ipadomu 
menemukan,manomuhon 
menenangkan,patonanghon 
meneng,nonghon 
menenggelam,maunobhon 
menenggelamkan,"patinophon 
"
menengkari,"maninggili, maninggili "
menentang,tuldom
menenun,manonun 
menepi,mambidingi 
menepikan,"mabiding, pabidingkon, pabidingkon "
menerangi,"manorangi, manorangi "
menerangkan,"patoranghon, patoranghon "
menerbangkan habang,"pahabangkon 
"
menerima,"manampin, manampin , manjalo "
menerimakan,manjalohon 
menerjang,"mananjak 
"
menerkam,mandorab 
meneruskan,"dugot, patorushon "
menetak,"mananggam, mananggam "
menetek,"manusu, manusu "
meneteki,"manusui, manusui "
menetes,"manektek, manektek "
"menetes, gerimis: dopma marindik udan sudah menetes hujan (gerimis)",marindik
meng,"hius, kiuskius, mangamparhon 
, manggukgukkon 
, manghobirhon, manghobirhon 
, mangombunhon, mangombunhon 
, mangunsagahkon 
"
meng- garuk-garuk,kiuskius
meng- gonggong,mumbal
mengabaikan,manioshon 
mengacau,marsehu 
mengadakan,"mangadonghon 
"
mengaduh,aing
mengaduk,"manggaor , mangugar, mangugar "
mengairi,"mangarbahi, mangarbahi "
mengais,"kaes, kais  
manghais , manghear "
mengaiskan,"manghaishon, manghaishon "
mengait,manghait 
mengajak,tandangkon
mengajak orang untuk bertandang,tandangkon 
mengajar,mangajar 
mengakar,mangurat 
mengaku,jahu
mengaku salah,lungkar
mengaku salah sendiri,lungkar
mengakui,topot
mengalikan,"manghalihon, manghalihon "
mengalung,masinokokhon 
mengalungi,masinokoki 
mengambang,olad
mengambil,"mangalop 
"
mengambil jalan pintas,marlembang
mengambil sesuatu,nges
mengambil sesuatu dengan sangat cepat (yang dilakukan pencuri),nges
mengambil umbut,hubal
mengambil umbut pohon aren,hubal
mengambili,"mangabisi 
"
mengancam,"manggombit, manggombit "
mengandaikan,marlimbaga
mengangakan mulut,ang
menganggur,"ansoanso, edak"
mengangkang,"manehang, manehang "
mengangkat,"mangangkat , mangayob 
"
menganjurkan,"manajukhon , maningkal, maningkal "
mengantar,"manaruhkon 
"
mengantongi,"maksusangi, maksusangi "
mengantuk,"depdep, mangedep, mangedep , medep , pede, unduh"
menganyam,"mambayu, mambayu "
mengapa,"mase, nase"
mengapa; kata tanya untuk menanyakan sebab atau perbuatan,mase
mengapur,manghapur 
mengapuri hapur barus kapur barus,manghapuri 
mengarah,"mandompak, mandompak "
mengasam,mamigar 
mengasami,mamigari 
mengasamkan,"pamigarhon, pamigarhon "
mengasapi,pul
mengasuh,marorot
mengatai,"manghatai, manghatai "
mengatakan,"manghatahon, mangkatahon "
mengatur,"mangatur, manransap "
mengaum,aum
mengawani,"manghasomani , manghuani "
mengayak,manege 
mengayuh,"mangayuh, mangayuh "
mengayunkan,hurdo
mengecil,maetek 
mengedip,manghirdop 
mengejar,"mamuyuk 
, mangayak 
, manulus , mardakdak , muyuk"
mengejek,"manugan, manugan "
mengejek ,marongon 
mengejuti,"manghirjati, manghirjati , manonggoti "
mengekor,"pantat  
mangihur "
mengelak,"manangkah, manangkah , silah"
mengelakkan,"manangkahon, manangkahon "
mengeluar,"mangaluarhon, mangaluarhon "
mengeluarkan,"luaran, padaratkon, padaratkon "
mengeluarkan getah,luaran
mengelupas,maliklik 
mengem,pahembangkon 
mengembangkan,"pahombangkon 
"
mengembik,"marbehek, marbehek "
mengembung,marbuniat 
mengembuni,mangombuni 
mengena ke hati,daloh
mengenai,manghonai 
mengenal,"mananda, mananda "
mengenalkan,"kenal 
patandahon , patandahon"
mengendap,marnanak 
mengental,"mamelhat, mamelhat "
mengentalkan,"mamelhatkon, pekat 
mamelhatkon "
mengentuti,manguntuti
mengeong,"marngeong 
"
mengepal,"mamohul, mamohul , manghopol, manghopol "
mengerat,"manghorat , manghorot, manghorot "
mengering,mahorah
mengeringkan,mahorahon
mengerjakan,"manghorjahon , manghoseihon"
mengeruh,"manggomburi, manggomburi  "
mengeruhkan,"manggomburkon, manggomburkon 
"
mengetahui,"mambotoh 
"
mengetam,"manghotam, manghotam "
mengetuk dengan kuat,dungar
menggali,"manahur , manghuar 
, manghurak , manghuruk , manguhal , ngongkal "
menggandeng,mangkating 
mengganggu,"lampang, manggarjou , mugar"
menggapai,dungdung
menggapai dengan posisi membungkuk,dungdung
menggarami,manirai 
menggayung,"manggayung, manggayung "
menggelapkan,pagolapkon
menggelapkan golas,pagolapkon 
menggelar pesta,pestahonon 
menggeledah,"marrukas 
"
menggeleng,mangupir 
menggelepar,hulepor
menggeliat,"gadeol, margedat, margedat 
"
menggelitik,gitik 
menggelitik itil,itik 
menggem,"alat 
untuk menghangatkan , manggomparkon , pabutonghon, pabutonghon 
"
menggembira,pamegahkon 
menggendong,"manangking, manangking , mangambit, mangambit "
menggerak,manghusorkon 
menggerakkan dengan sekuat tenaga,"guahkon 
"
menggergaji,"manihit, manihit "
menggesek,mangupamhon 
menggetarkan,"hitirkon 
"
menggigil,eper
menggigit,"mandoit , manggigit , mangharat 
, manghorut"
menggigit hosa,manghorut 
menggigiti,mangharati 
menggigitkan,mangharathon 
menggiling,"manggiling , manuktuk, manuktuk , manuktukhon, manuktukhon "
menggonggong,"mangumbal, mangumbal "
menggoreng,"manggorang, manggorang "
menggores,manurih 
menggoreskan,manurihkon 
menggosok,"manggosok , manggusok, manggusok , manghusuk, manghusuk 
, manghusukkon , mangugus "
menggoyang,"mandugur , maunggat, maunggat "
menggulai ikan mas,mangarsik 
menggulung,"manghulhul, pugul"
menggunakan,marhatoban
menggunakan jasa pembantu,marhatoban 
menggunduli,mamalpal 
menghabis,"manungkalhon, manungkalhon "
menghabiskan,"ampud, mamboishon , managashon , manghorushon 
"
menghadap ke,galgal
menghadap ke atas,galgal
menghafal,imangapil 
menghafalkan,mangapilhon 
menghampiri,"manghapiri, manghapiri "
menghangati,malasi 
menghangatkan,"marmalas , opop, pamalaskon "
menghangatkan anaknya di bawah sayap,opop
menghapus,"manasap, manasap , mangapus, mangapus , mangusap, mangusap "
menghapuskan,manasaphon 
mengharap,"kawahan, mangarap "
mengharap- harap,kawahan
mengharapkan,"mangarapkon 
"
menghasta,"mangolag 
"
menghentak,denges
menghentikan,pasohkon 
menghilangkan,"mamagou , pangagouhon 
"
menghina,"mandoring, mandorun , manghiri "
menghindar,manimbil 
menghindari,manimbili 
menghinggapi,manogopi 
menghirup,manirup 
menghisap candu,madat
menghitamkan,pabironghon 
menghitung etor,mangetong 
menghormati,"mangtabi 
"
menghormati raja,laidaulat 
menghujani,"mangudani, mangudani "
menghukum,"manghukum, manghukum "
mengibaskan,"manarsarhon, manarsarhon "
mengigiti,mangharati 
mengikat,"manambat, manambat , marahut , mauntam"
mengikat hewan,arih
mengikat hewan dekat dengan tempat tambatannya,arih
mengikat kecil,mamborkos 
mengikatkan,"manambathon, manambathon "
mengikir,"mangihir, mangihir , mangkihir"
mengikir alat kikir,mangkihir 
mengikis,"magougou , manghabus "
mengikuntukan,"mangihutkon 
"
mengikut,dihuti 
mengikuti,"dihuti, dihuti , mangirik"
menginap,tondok
mengingat,"dingati , mangingat , mangingot, mangingot "
mengingkar,mangengkar 
menginjak,"manrojat, manrojat "
mengintai,"gompang, mangintei "
mengintai;,gompang
mengintip,mangintip 
mengira,mangkira 
mengiri,manubil 
mengirim,"manghirim , manongos "
mengirimkan,manongoskon 
mengiring,"mangirik, mangiring 
"
mengiringi,mangirikhon
mengiringkan,"mangirikkon, mangirikkon , pangirikkon"
mengiris,"mangiris 
"
mengiriskan,mangiriskon 
mengisap,"manginsop , manginsophon "
mengisi,"asakasak, mangisi "
mengistirahat,"manaranhon, manaranhon "
mengiyakan,mangiakkon 
mengizinkan,"mangalopas, mangalopas "
mengobati,"manambari, mangubati, mangubati "
mengobatkan,"patambarhon, patambarhon , paubathon, paubathon "
mengocok,"manegu, manghiat"
mengocok hida,manghiat 
mengocok sehang,manegu 
mengolak,mangolak 
mengoles,"manlapu, manlapu , manosah, manosah "
mengoleskan,"manosahkon, manosahkon "
mengomel,"maringis 
"
mengonsep,"manghonrap, manghonrap "
mengorek,puhur
mengorek (kearah dalam),puhur
mengorek atau,olbuk
mengorek atau membalik padi yang ditumbuk di lesung dengan menggunakan tangan,olbuk
mengotori,"mambutaki, mambutaki "
mengotori kuasa,mangkotori 
mengotot untuk,suhil
mengotot untuk meminta sesuatu,suhil
menguap,marhoyam 
menguas benang,"mangunggas 
"
menguasai,manguasai
menguat,"laganan, margogoh "
menguat 2lagan,laganan 
menguatkan,pagogohkon 
mengubah,mangubah 
mengubik; mengupas,lahei
menguburkan,"manguburhon, manguburhon "
mengukir,"manguhir 
"
mengukur,mangukur 
mengukur jalan: anjah dansa horjani tiap ari mengukur jalan kerjanya setiap hari,anjah
mengulangi,"mangulaki, mangulaki "
menguliti,manghuliti 
mengulur indil,mindat 
mengum,"mahimpangkon , maumpamahon, maumpamahon "
mengumpat,mantiha 
mengumpulkan,"mamulung, mamulung "
mengundang,"manrogong, manrogong "
mengunyah,"gagat, manghursap "
mengunyah rumput,gagat
mengunyah: ompung mangan demban nenek makan sirih,mangan
mengupa,upa 
mengupahi,"mangupahi, mangupahi "
mengupas,"manghubak, manghubak 
"
mengupayakan,pamutahkon
mengupayakan supaya muntah,pamutahkon 
mengurang,"mangurakhon, mangurakhon "
mengurangi,"manguraki, manguraki "
mengurung,manghurung 
mengurus,"mamerung, mamerung 
"
menguruskan,pamerungkon 
mengurut,"mangalut, mangalut , mapohol  "
mengusapkan,"mangapushon, mangapushon "
mengusir,"mangalai 
, manggorat "
mengutangkan,pautanghon 
mengutip,"manghutip, manghutip , mangiduk, mangiduk "
mengutui,marhutu 
mengutuk,"mambura , manapata, manapata "
menidurkan,"papodomhon, papodomhon , patibalhon, patibalhon 
, pithon "
menikah,unjuk
menikahkan,paunjukhon 
menikahkan sambil mem- berangkatkan wanita ke rumah suaminya atau mertuanya,boru
menikam,"maniham, maniham , manobak "
menikamkan,"manihamhon, manihamhon , manobakkon "
menimang,maniteng 
menimba,arsak
menimbang,"manimbang, manimbang "
menimbun,"manamban , manasa , manimbun "
menimpa,manipa 
menindih,manindih 
meninggal,"manangguhkon, manangguhkon , tikal"
meninggalkan,"manadingkon 
"
meninggi,"mangenseng, mangenseng 
"
meninjau,"manatap 
"
meninju,manenju 
menipiskan,"marampishon , patipishon "
menipu,"manghilang, manghilang , manipu "
menipu dalam,lagei
menipu dalam perniagaan,lagei
menir beras yang,suju
menir beras yang hancur,suju
meniru,maniru 
meniti,mangitei 
menitipkan,manonjahon
menitipkan tonjan,manonjahon 
meniup,"manompul, manompul , manompul 
, nompul "
meniupkan,"manompulhon , mardongkut"
meniupkan dongkut,"mardongkut 
"
menjadi,"bunyi, gabe, mamegahkon, mandantur, manjadi  , masombuh"
"menjadi (diangkat, dipilih) sebagai",gabe
menjadi agak tinggi,"magijang 
"
menjadi besar,punar
menjadi bulat,manggemong 
menjadi gembira,"mamegahkon 
"
menjadi hancur,mandantur 
"menjadi lebih baik (laku,",maju
menjadi malu,tarbador 
menjadi miskin,masombuh 
menjadi sumbing,"manramping 
"
menjadikan,"mamelahon, mamelahon 
, mamosonghon, manjadihon, manompiti, pahipaskon, pasaudhon, pasaudhon  "
menjadikan hangus,mamosonghon 
menjadikan sehat,"pahipaskon 
"
menjadikan sempit,"manompiti 
"
menjaga,"manjaga , manramot 
"
menjagakan,manjagahon
menjahit,manjait  
menjala,manjala 
menjalani,mandalani 
menjalankan,mandalankon
menjampi,"manabas, manabas "
menjanda,mabalu 
menjanjikan,"mamadanhon, mamandanhon"
menjarang,"maranggou, maranggou , maranggouhon, maranggouhon "
menjauhkan,padaohkon 
menjawab,"manampang, manampang "
menjelaskan,"pajojorkon, pajojorkon , patedanghon "
menjemur,"manghirei , manjomur "
menjengkal,"manjongkal, manjongkal "
menjengkali,manjongkali
menjenguk,"mangiligi 
, manungkir, manungkir 
"
menjepit,"manghapit, marapit "
menjerang,"mananggor , mananggorhon , manjorang"
menjerang jomput,manjorang 
menjerat,"manambil, manambil , maniding , manrajum "
menjerit,"doruh, doruh , mandorak , ngair"
menjilat,"mandilat, mandilat "
menjilat bibir,aluk
menjinjing,manghanting
menjual,manjual 
menjualkan panjual n penjual,manjualhon 
menjulur,manghurei 
menjulurkan,manghureihon 
menjumpa,manjumpahkon 
menjumpai,manjumpahi 
menjumput,"manjomput, manjomput 
"
menjunjung,"manjujung 
, pajujunghon "
menokok  kepala dengan sendi jari tengah yang dilipatkan,dotak
menokok kepala,dotak
menolak ke pinggir,suag
menolak ke pinggir agar bisa lewat,suag
menolong,mangurupi 
menombak,"mananja , manumbak "
menonjol,tuluk
menonjolkan,"manjodathon, manjodathon "
menoreh,malapah
mentah,motak
"mentah  belum masak; belum waktunya untuk dipetik, diambil hasilnya dan sebagainya (seperti buah- buahan)",matah
mentah belum,matah
mentimun,ansimun
menuakan,"patorashon, patorashon "
menuang air,ampor
menuang air sedikit-sedikit,ampor
menuangkan,"manuanghon, manuanghon "
menuduh,manukas
menudung,mambulangkon 
menukarkan,"manuharhon, manuharhon "
menular,dalit
menulis,"manurat, manurat 
"
menuliskan,manurathon 
menumbuk,"manduda 
, manondol, manondol , manrombuk, manrombuk 
"
menumbuk padi,bilbil
menumpah,"manungkaphon, manungkaphon "
menumpahkan,"mandungkaphon 
"
menumpuk,magugun
menumpuk margugun,magugun 
menunduk,"maunduk, maunduk 
"
menundukkan,"maniashon, maniashon , paundukhon, paundukhon "
menunggang,"mangajak 
"
menunggangi,mangajaki 
menungging,"mambungkil , maunggilhon "
menunggingi,mambungkili 
menunggu,habaru
menunggu orang sakit,habaru
menunggui,"paimahon, paimahon "
menunjuk,"manuduh, manulduk "
menunjukkan,"patuduhkon, patuduhkon "
menuntun,mantata 
menurun,manurun
menuruni,"manuruni, manuruni "
menurunkan,"marondoh, paturunhon"
menurunkan emosi,"marondoh 
"
menusuk,"manojok, manojok , manusuk, manusuk "
menusukkan,manusukhon 
menutup,"mananggum, mananggum , manangkup, manangkup , manongom, manongom , manrungkub, manutup , marrongkob"
menutup muka,solam
menutup muka dengan kain seperti orang mau hipnotis,solam
menutup rungkub,marrongkob 
menutupi,"manangkobi, manangkupi, manangkupi "
menutupi sangkot,manangkobi 
menutupkan,manangkuphon
menuturkan,manuturhon 
menyabit,"manabi, manabi "
menyabun,manabun 
menyabung,"manabung, manabung "
menyadap,"manderes, maragad 
"
menyakiti,"mangodar 
"
menyala,gajag
menyalahi,maningkali 
menyalahkan,"maningkalhon, maningkalhon , manlepakkon, manlepakkon , pasalahkon, pasalahkon "
menyalak,morong
menyalakan,"mannahiti 
"
menyalin,"manalin, manalin "
menyamar,ilog
menyambar,"manangkis, manangkis 
"
menyambung,"maubung, maubung , maubunghon, maubunghon "
menyambut,"mangaloalo, mangaloalo "
menyampai,pasampeihon 
menyampaikan,"mandashon, mandashon , pasahathon, pasahathon "
menyangka,"manugat, manugat "
menyangkut,"manangkothon, manangkothon "
menyantani,"manantani, manantani "
menyanyi,mandoding
menyanyikan,"mandodingkon 
"
menyapih,mangampul
menyapih ampul,mangampul 
menyapu,"haer, manapu , matunila, matunila "
menyaring,manayoh 
menyarung,manghiouhon 
menyarungi,"manarungi, manarungi , manghioui "
menyate,manatei 
menyatukan,pasadahon 
menyayangi,mangholongi 
menyayangkan,"manoyahon, manoyahon "
menyayat,"manayat, manayat "
menyayur,"marlowoh, marlowoh "
menyebabkan pening,"pingoran 
"
menyebar,manegei 
menyebarkan,manegeihon 
menyebut,manobut
menyebutkan,manobuthon 
menyegani,"manogani, manogani "
menyejukkan,lamlam
menyekolah,"pasikolahkon, pasikolahkon "
menyelam,"marhonong, marhonong "
menyelami,"manghonongi, manghonongi "
menyelesaikan,"mandobhon, pasaheihon, pasaheihon , pasiaphon, pasiaphon "
menyelimut,"Batak 
manguloskon "
menyelimuti,"manalimuti, manalimuti , manggobari, mangulosi "
menyelimutkan,"manabeihon, manabeihon "
menyelipkan,"maniliphon , manolathon, manolathon "
menyemai,manamei
menyemai samih,manamei 
menyembah,"manrogop , manumbah, manumbah "
menyembam,"manombam, manombam , manumsam, manumsam "
menyembelih,"gorok 
manekoh , managil , manekoh, manghoyok , manigoh, manigoh "
menyembuh,"manghuyahon, manghuyahon , pamalumkon"
menyembunyi,mangiloghon 
menyembunyikan,punuk
menyembunyikan kepala (seperti kura),punuk
menyembur,"manampik, manampik "
menyemir,manimir 
menyempat,"manompathon, manompathon "
menyempiti,manosoti 
menyempitkan,pasompithon 
menyendok,"manonduk 
"
menyengat,"manorod, manorod "
menyengat menyengat,dongot
menyengsarakan dahal,"madagoskon 
"
menyentak,"marrota, marrota "
menyentakkan,mauntorhon 
menyentuh,"mandorab, mandorab , manumbuk, manumbuk "
menyentuhkan,mandaiskon 
menyepak,"mabintih , manipak 
"
menyepakkan,manipakhon 
menyepatui,"manipatui, manipatui "
menyepuh,manopuh 
menyepuhkan,"pasopuhkon, pasopuhkon "
menyerah,"mangondos, mangondos , mangondoskon, mangondoskon "
menyerahi,"mangondosi, mangondosi "
menyerakkan,"manartarhon, manartarhon "
menyergap,"mamolgap, mamolgap , maningkup 
"
menyerong,manayung 
menyerongkan,"pasayunghon, pasayunghon "
menyerupai bubu,mabubu 
menyesak,manosak 
menyesakkan,"manosakhon, manosakhon "
menyesal,"manosal 
"
menyesatkan,"mangkahoukon 
"
menyetubuhi,"maneteti, maneteti "
menyewa,manasih 
menyiang rumput dengan kiskis,"mangkiskis 
"
menyibak,"manebak, manebak "
menyibakkan,manebakhon
menyibakkan sebe,manebakhon 
menyiksa,mangarsik 
menyimpan,"mamonopkon, mamonopkon "
menyimpan dalam peti,"mamotihon 
"
menyimpang,"dempar, lembang"
menyindir,"mampantuni, mampantuni 
, manember "
menyinggah,"pasinggahkon, pasinggahkon "
menyinggahi,"maninggahi, maninggahi "
menyirat,"manorot, manorot "
menyirih,mardemban 
menyirihi,mardembani 
menyisakan,"manodeihon, manodeihon , manuleihon, manuleihon , pasisahon, pasisahon "
menyisip,"manolot , maulbuk, maulbuk "
menyisipkan,manolothon 
menyisir,manurui 
menyodorkan,"manurdukhon, manurdukhon "
menyodorkan tiga,mantidurhon 
menyokong,manungkol 
menyuap,"manisip , manulang "
menyuapi,manulangi 
menyuarakan,manorahon 
menyudahi,"padophon, padophon "
menyumbat,"manumpol, manumpol "
menyumpah,"mambija, mambija "
menyumpit,"maultop, maultop "
menyunat,manunat 
menyuntik,"manurgis, manurgis "
menyuruh,"manuruh, manuruh "
menyuruk,"manuruk, manuruk "
menyurutkan,paundurhon 
menyusahkan,galegei
meraba,"dadap , mandadap "
meracun,"manantou, manantou , manorlup "
meracuni,"manantoui, manantoui "
merah,"Adjective, gerger"
merajuk,"golut, margoni , pungil"
meramal,"liatliatan, manondung , manrasi, manrasi "
merambas,"manrampak, manrampak "
merampas,"manrampas 
"
merana,gawah
merangkak,"gapang, manggawang, manggawang "
merangkaki,"manggawangi, manggawangi "
merantau,"manrantau, manrantau , marlajang "
merapatkan,"mangardahkon, mangardahkon , pasobathon "
merasa,"marhasap , sobalan"
merasa beruntung,labas
merasa bosan,sobalan 
merasa pegal,ngayotan 
meratakan,dos  
meratap,malidung 
meraung,"aucang, doruh , mandoruh, mandoruh "
meraut,arid
merayap,"majulur, majulur 
"
merdu,"lur, rogou"
merebahkane,malepethon
merebus,"mambolgang, mambolgang "
mereka,sidea
merekatkan,parohat   
merendam,manronjam
mereng,maganggangkon 
merenggang,marganggang 
merenggangi,maganggangi 
merenguk,gorbong
merenguk seperti ayam sakit,gorbong
merenung memandang ke bawah,lempe
merepet,"gait, gapgap"
meresahkan,"mamengashon, mamengashon "
meresap,sorap
meresapkan,"manoraphon, manoraphon "
meretak,masirgang
meretak siri,masirgang 
meretakkan,"manirganghon, manirganghon , pasikahkon, pasikahkon "
meretas,"manastas, manastas "
meriah,"bosar, mariah, rami"
meriah; ramai yang bersifat suka ria maridi   [maridi]   v   mandi,mariah
merimbun,"manabun, manabun "
meringis,iha
meringis (seperti suara kuda),iha
merintih,marinih 
merintis,manrintis 
merobek,"manirak , nirak "
merobekkan,manirakhon 
merokok,"manrohok 
"
meronta,"gapas, maregas, untalas"
meronta- ronta karena sesuatu,maregas
merotan,marhotang  
merpati,"asas, darapati"
mertua,"makkela , simatua"
merubah,marsiubah 
merugi,imbuh
merusakkan diri,heja
merusakkan diri sendiri; menghancurkan atau tidak menghargai diri sendiri,heja
mesiu,"bolajat, ubat"
meskipun,agepe
mesti,tomulang
meterai,tara
mewajibkan,mawajiphon 
miang,rogon
milik,gotong
mimis,mimis
mimpi,"dihir, nipi"
mimpi;  sesuatu  yang dialami dalam tidur,nipi
minta,pindo
minum,"inum, manibur, manibur , markopi 
, minum, sibur, sobur"
minum (binatang),sibur
minum (digunakan pada anak-anak),mimik
minum (tentang binatang),sobur
minuman,inumon 
minyak,minak
minyak obat,jobat
miring,"andar, miling, sandur, seder, teleng"
miring (tentang pohon),sandur
mirip-mirip,songon-songon
miskin,"bajor, musil, pogos, sombuh"
modal,tunggul
modal berjudi,judihonon 
moga,"adatua, idahidahansi"
moga-moga,adatua
moncong,unsum
montok,"getek, palkus"
monyet,bongkala
motor,motor
mual,moak
muara sungai,tinada
muara sungai,tinada
muat,"muat, siat"
muda,"muda, poso"
mudah,"andohar, limitlimit, muyun, ra"
mudah goyang karena dangkal di- pancangkan,limitlimit
mudah marah,galak
mudah- mudahan,andohar
mudah tersinggung,sigi
mudah-mudahan,ra
mufakat,ariharih
mujur; beruntung,mokor
muka,"alub, bohi"
mukanya lembam,sangir
mukanya lembam dan darah keluar dari hidung,sangir
mulai,"mungkah, pungkah, toha"
mulai busuk,muap
mulai lembek,madoluh 
mulia,"bahuta, hidorat, marsangap , mulia, tunggung"
mulia; ,mulia
muliakan,pasangap
mulut,"baba, bahah, ngem"
mulut kotor,ursam
mulut kotor (karena berbicara tidak pantas),ursam
muncul,timbuk
mundur,"hasundaran, mundar, sundar, undar"
mungkin,"atak, atik"
muntah,"moyak, mutah, ursak, utah, utah "
muntah (tentang anak bayi),ursak
muntah bayi,intar
murah,"minar, murah, urah"
muram,bundong
musang,"Ry, galot, sidungari, tampulak"
musibah,bala
musim,"adar, hagar, musim"
musim hagoan → hagou hagonap → haganup,hagar
musim peralihan hujan ke,nolang
musnah,popor
musti,ningon
musuh,"goraha, musuh"
nabi,nabi
nafsu,kahul
naga,naga
naik,"ajak, bubung, naik"
nakal,"jahil, jongak"
nakal; jahat,jongak
nama,"bajalinggei, bataraguru, buar, burtaburta, dilah, goran, goringgoring, hudon, naga, nanggalutu, palionggang, pora, rajamantan, rampasbire, rangin, riang, roba, sima, simartolu, simarumbalang, singgohgoh, singguboh, sorigudam, tabar, tanggopul, tawei, tingtingbah"
nama bagian dari,suha
"nama bagian dari marga Simalungun, yaitu Purba Dasuha (laki-laki) dan Boru Suha (perempuan)",suha
nama batu,rampah
nama batu atau kayu yang dibuat ber- bentuk empat persegi,rampah
nama bunga,ruhu
nama daerah,bajalinggei
nama daerah di Simalungun,Sidamanik
nama desa,nagaraja
nama desa yang dibentuk dari kata nagori dan raja yang berarti benua raja atau kampung raja,nagaraja
nama dewa,bataraguru
nama hari,rabu
nama hari kedua,suma
nama jenis bambu,soma
nama jenis bambu yang besar dan tinggi,soma
nama jenis kayu,jati
nama kampung,"bandar, hinalang"
nama kampung di Dolok Silau,barubei
nama kampung yang terdapat di Kecamatan Raya,longkung
nama kayu,hasupat
nama kehormatan,sang
nama kerbau dalam cerita Raja  Negeri Raya,nanggalutu
nama marga,tondang
nama marga (bagian dari marga Purba),tondang
nama orang,jonaha
nama orang pintar (pandai seperti Abu Nawas) dalam cerita Simalungun,jonaha
nama penyakit,alumalum
nama per,sundalap
nama per- kakas rumah,sundalap
nama salah satu,girsang
nama salah satu kampung di Raya,Limag
nama salah satu marga di simalungun,girsang
nama satu,burihan
nama satu kampung di Raya,burihan
nama se,sindulpak
